OBJECTID;equipamien;x;y;identifica;codvia;numportal;telefono;geo_shape;geo_point_2d
23952;ASOCIACIÓN CULTURAL PERUANA OLLANTAY DE VALENCIA;723783.213;4373909.225;001333;81278;1;963471529;"{""coordinates"": [-0.39794090272597155, 39.485693316534636], ""type"": ""Point""}";39.485693316534636, -0.39794090272597155
24000;AVSA. ASOCIACIÓN VALENCIANA DE SOLIDARIDAD CON ÁFRICA;725260.17;4372605.808;009549;9510;10;611154705;"{""coordinates"": [-0.3955320000891597, 39.49524899998675], ""type"": ""Point""}";39.49524899998675, -0.3955320000891597
24052;ASOCIACIÓN CASA CUBA COMUNIDAD VALENCIANA;725523.398;4372302.438;009740;81575;10;963521460;"{""coordinates"": [-0.3967920000659565, 39.487491000077995], ""type"": ""Point""}";39.487491000077995, -0.3967920000659565
24057;ASOCIACIÓN CULTURAL, SOCIAL Y EMPRESARIAL HISPANOAMERICANOS EN JÁVEA Y VALENCIA;723301.948;4370423.063;009739;81134;27;963581191;"{""coordinates"": [-0.40469832390124383, 39.454438174012544], ""type"": ""Point""}";39.454438174012544, -0.40469832390124383
24101;ASOCIACIÓN BENEFICA LA MANO QUE AYUDA;725740.773;4374630.653;010176;53640;7;963849870;"{""coordinates"": [-0.3749571737151057, 39.49167555071833], ""type"": ""Point""}";39.49167555071833, -0.3749571737151057
24129;MÉDICOS DEL MUNDO COMUNIDAD VALENCIANA;;;005898;0;14;963916767;"{""coordinates"": [-0.3829114411698409, 39.47385196074658], ""type"": ""Point""}";39.47385196074658, -0.3829114411698409
24136;ASOCIACIÓN  POR TI MUJER;727802.018;4373055.649;009507;2430;12;963476774;"{""coordinates"": [-0.3515499178242857, 39.476955567122424], ""type"": ""Point""}";39.476955567122424, -0.3515499178242857
24137;ASOCIACIÓN HINDÚ DE VALENCIA;724264.208;4373966.462;009724;49620;8;647950905;"{""coordinates"": [-0.3923342615545413, 39.48608326907123], ""type"": ""Point""}";39.48608326907123, -0.3923342615545413
24149;ASOCIACIÓN ENTREIGUALES VALENCIA;725336.929;4372419.719;009736;65220;8;692221879;"{""coordinates"": [-0.38039589519308664, 39.4718804570052], ""type"": ""Point""}";39.4718804570052, -0.38039589519308664
24206;CENTRO CULTURAL ISLÁMICO DE VALENCIA;727651.91150622;4373208.88463105;003406;6870;17-19-21;624014666;"{""coordinates"": [-0.3518967079951889, 39.48022589656336], ""type"": ""Point""}";39.48022589656336, -0.3518967079951889
24209;ASOCIACIÓN BENKA. ALTO CONSEJO DE LOS MALIENSES EN COMUNIDAD VALENCIANA;725717.703;4371312.213;009709;12390;8;632572439;"{""coordinates"": [-0.3763482829123363, 39.46181184356243], ""type"": ""Point""}";39.46181184356243, -0.3763482829123363
24210;ARGENTINAS Y ARGENTINOS EN VALENCIA. AGRUPACIÓN MARTÍN FIERRO;725836.92;4371131.072;009730;41850;24;658384859;"{""coordinates"": [-0.3750252056544685, 39.46015010283958], ""type"": ""Point""}";39.46015010283958, -0.3750252056544685
24212;ACCEM;724630.359;4371217.269;009458;50640;9;963673994;"{""coordinates"": [-0.35051510098097044, 39.500382042228395], ""type"": ""Point""}";39.500382042228395, -0.35051510098097044
24213;ASOCIACIÓN SUFLET ROMANESC ALMA RUMANA;726275.831;4375104.314;009729;23100;20;647294995;"{""coordinates"": [-0.368580520752438, 39.49579841240344], ""type"": ""Point""}";39.49579841240344, -0.368580520752438
