id;Año;Sexo;Distrito;Valor;Fecha creacion;Fecha baja
260;2020;Ambos;RASCANYA;82.45;2023-07-02;NA
263;2020;Ambos;POBLATS DE L'OEST;82.81;2023-07-02;NA
264;2020;Ambos;POBLATS DEL NORD;83.11;2023-07-02;NA
269;2021;Ambos;L'EIXAMPLE;85.15;2023-07-02;NA
272;2021;Ambos;LA SAIDIA;84.14;2023-07-02;NA
6;2009;Ambos;EXTRAMURS;82.19;2023-07-02;NA
10;2009;Ambos;L'OLIVERETA;80.93;2023-07-02;NA
12;2009;Ambos;JESUS;81.49;2023-07-02;NA
13;2009;Ambos;QUATRE CARRERES;81.33;2023-07-02;NA
18;2009;Ambos;RASCANYA;81.14;2023-07-02;NA
23;2010;Ambos;Todos;81.73;2023-07-02;NA
25;2010;Mujeres;Todos;84.67;2023-07-02;NA
26;2010;Ambos;CIUTAT VELLA;80.74;2023-07-02;NA
30;2010;Ambos;LA SAIDIA;82.04;2023-07-02;NA
31;2010;Ambos;EL PLA DEL REAL;84.08;2023-07-02;NA
37;2010;Ambos;CAMINS AL GRAU;82.03;2023-07-02;NA
43;2010;Ambos;POBLATS DE L'OEST;81.44;2023-07-02;NA
55;2011;Ambos;PATRAIX;82.27;2023-07-02;NA
65;2011;Ambos;POBLATS DE L'OEST;81.42;2023-07-02;NA
67;2012;Ambos;Todos;82.14;2023-07-02;NA
68;2012;Hombres;Todos;78.85;2023-07-02;NA
69;2012;Mujeres;Todos;85.03;2023-07-02;NA
70;2012;Ambos;CIUTAT VELLA;81.18;2023-07-02;NA
76;2012;Ambos;L'OLIVERETA;82.23;2023-07-02;NA
79;2012;Ambos;QUATRE CARRERES;82.07;2023-07-02;NA
83;2012;Ambos;BENIMACLET;82.94;2023-07-02;NA
84;2012;Ambos;RASCANYA;82.07;2023-07-02;NA
90;2013;Hombres;Todos;79.4;2023-07-02;NA
92;2013;Ambos;CIUTAT VELLA;81.21;2023-07-02;NA
94;2013;Ambos;EXTRAMURS;83.39;2023-07-02;NA
96;2013;Ambos;LA SAIDIA;82.94;2023-07-02;NA
105;2013;Ambos;BENIMACLET;83.16;2023-07-02;NA
112;2014;Hombres;Todos;79.72;2023-07-02;NA
115;2014;Ambos;L'EIXAMPLE;83.57;2023-07-02;NA
116;2014;Ambos;EXTRAMURS;83.43;2023-07-02;NA
117;2014;Ambos;CAMPANAR;83.59;2023-07-02;NA
120;2014;Ambos;L'OLIVERETA;82.49;2023-07-02;NA
125;2014;Ambos;CAMINS AL GRAU;83.24;2023-07-02;NA
127;2014;Ambos;BENIMACLET;83.43;2023-07-02;NA
130;2014;Ambos;POBLATS DE L'OEST;81.8;2023-07-02;NA
134;2015;Hombres;Todos;79.83;2023-07-02;NA
135;2015;Mujeres;Todos;85.37;2023-07-02;NA
137;2015;Ambos;L'EIXAMPLE;83.79;2023-07-02;NA
138;2015;Ambos;EXTRAMURS;83.67;2023-07-02;NA
