OBJECTID;Nombre Places / Número Plazas;geo_shape;geo_point_2d
311723;1;"{""coordinates"": [-0.4207801717449355, 39.49920052852971], ""type"": ""Point""}";39.49920052852971, -0.4207801717449355
311728;1;"{""coordinates"": [-0.3831465847754467, 39.4794353196277], ""type"": ""Point""}";39.4794353196277, -0.3831465847754467
311732;1;"{""coordinates"": [-0.3821966553385839, 39.48991029658132], ""type"": ""Point""}";39.48991029658132, -0.3821966553385839
311734;1;"{""coordinates"": [-0.34171096362929504, 39.455384728161], ""type"": ""Point""}";39.455384728161, -0.34171096362929504
311737;1;"{""coordinates"": [-0.423343399616036, 39.502245950203346], ""type"": ""Point""}";39.502245950203346, -0.423343399616036
311739;1;"{""coordinates"": [-0.37495114181367484, 39.48448622410389], ""type"": ""Point""}";39.48448622410389, -0.37495114181367484
311741;1;"{""coordinates"": [-0.3885250167684136, 39.498588718390394], ""type"": ""Point""}";39.498588718390394, -0.3885250167684136
311744;1;"{""coordinates"": [-0.3651908281850905, 39.45239790006385], ""type"": ""Point""}";39.45239790006385, -0.3651908281850905
311745;1;"{""coordinates"": [-0.3833866039687035, 39.495379798195586], ""type"": ""Point""}";39.495379798195586, -0.3833866039687035
311747;1;"{""coordinates"": [-0.36110507646220014, 39.45654993216388], ""type"": ""Point""}";39.45654993216388, -0.36110507646220014
311748;1;"{""coordinates"": [-0.4083440834551532, 39.46447530192977], ""type"": ""Point""}";39.46447530192977, -0.4083440834551532
311749;2;"{""coordinates"": [-0.41024080293881715, 39.459657558770154], ""type"": ""Point""}";39.459657558770154, -0.41024080293881715
311755;1;"{""coordinates"": [-0.36405056201135316, 39.42520472680849], ""type"": ""Point""}";39.42520472680849, -0.36405056201135316
311757;1;"{""coordinates"": [-0.3384744912206859, 39.46407278008512], ""type"": ""Point""}";39.46407278008512, -0.3384744912206859
311759;1;"{""coordinates"": [-0.42513661185749496, 39.50147037764714], ""type"": ""Point""}";39.50147037764714, -0.42513661185749496
311763;1;"{""coordinates"": [-0.3694406195374215, 39.49178246882767], ""type"": ""Point""}";39.49178246882767, -0.3694406195374215
311765;1;"{""coordinates"": [-0.3830713110756996, 39.48495999579015], ""type"": ""Point""}";39.48495999579015, -0.3830713110756996
311768;1;"{""coordinates"": [-0.3263973656901986, 39.46447560342624], ""type"": ""Point""}";39.46447560342624, -0.3263973656901986
311769;1;"{""coordinates"": [-0.3595151253298932, 39.474687059591275], ""type"": ""Point""}";39.474687059591275, -0.3595151253298932
311772;1;"{""coordinates"": [-0.40124734853291644, 39.47380222800834], ""type"": ""Point""}";39.47380222800834, -0.40124734853291644
311776;2;"{""coordinates"": [-0.3465191101165885, 39.4676799695101], ""type"": ""Point""}";39.4676799695101, -0.3465191101165885
311778;1;"{""coordinates"": [-0.3948357919973137, 39.49803226045273], ""type"": ""Point""}";39.49803226045273, -0.3948357919973137
311780;1;"{""coordinates"": [-0.3903347029600177, 39.47346470913816], ""type"": ""Point""}";39.47346470913816, -0.3903347029600177
311782;3;"{""coordinates"": [-0.40016485189892737, 39.47151379093678], ""type"": ""Point""}";39.47151379093678, -0.40016485189892737
311786;1;"{""coordinates"": [-0.392429307738397, 39.47655547270066], ""type"": ""Point""}";39.47655547270066, -0.392429307738397
311787;1;"{""coordinates"": [-0.3928980880816957, 39.47530727933419], ""type"": ""Point""}";39.47530727933419, -0.3928980880816957
311790;1;"{""coordinates"": [-0.3938914182258391, 39.4898669268663], ""type"": ""Point""}";39.4898669268663, -0.3938914182258391
311791;1;"{""coordinates"": [-0.398988681244321, 39.46202812554962], ""type"": ""Point""}";39.46202812554962, -0.398988681244321
311794;2;"{""coordinates"": [-0.3642142049875729, 39.473791395228154], ""type"": ""Point""}";39.473791395228154, -0.3642142049875729
311800;1;"{""coordinates"": [-0.33518751256480966, 39.447042973541784], ""type"": ""Point""}";39.447042973541784, -0.33518751256480966
311801;1;"{""coordinates"": [-0.4041090262601416, 39.53960356638912], ""type"": ""Point""}";39.53960356638912, -0.4041090262601416
311806;1;"{""coordinates"": [-0.4207983658545025, 39.49942576558648], ""type"": ""Point""}";39.49942576558648, -0.4207983658545025
311807;2;"{""coordinates"": [-0.3785117047284571, 39.46991186898289], ""type"": ""Point""}";39.46991186898289, -0.3785117047284571
311809;1;"{""coordinates"": [-0.3774020877695984, 39.471388068173276], ""type"": ""Point""}";39.471388068173276, -0.3774020877695984
311810;1;"{""coordinates"": [-0.37715662464744937, 39.47171525026501], ""type"": ""Point""}";39.47171525026501, -0.37715662464744937
311815;1;"{""coordinates"": [-0.33545162791658023, 39.46690539014549], ""type"": ""Point""}";39.46690539014549, -0.33545162791658023
311816;2;"{""coordinates"": [-0.3352740275889429, 39.46702517010343], ""type"": ""Point""}";39.46702517010343, -0.3352740275889429
311819;1;"{""coordinates"": [-0.35535774362040823, 39.490003757669605], ""type"": ""Point""}";39.490003757669605, -0.35535774362040823
311822;2;"{""coordinates"": [-0.35123586872159046, 39.468143409914894], ""type"": ""Point""}";39.468143409914894, -0.35123586872159046
311825;2;"{""coordinates"": [-0.37411308936992527, 39.494578165193765], ""type"": ""Point""}";39.494578165193765, -0.37411308936992527
311827;1;"{""coordinates"": [-0.37457184804665705, 39.49602421370025], ""type"": ""Point""}";39.49602421370025, -0.37457184804665705
311832;1;"{""coordinates"": [-0.37769475768248906, 39.49872574641799], ""type"": ""Point""}";39.49872574641799, -0.37769475768248906
311837;1;"{""coordinates"": [-0.38089875176081195, 39.49672806911473], ""type"": ""Point""}";39.49672806911473, -0.38089875176081195
311839;1;"{""coordinates"": [-0.37723476041161647, 39.494476315830696], ""type"": ""Point""}";39.494476315830696, -0.37723476041161647
311843;1;"{""coordinates"": [-0.3801406273745576, 39.4937105159184], ""type"": ""Point""}";39.4937105159184, -0.3801406273745576
311844;1;"{""coordinates"": [-0.3817478433711826, 39.492564044240524], ""type"": ""Point""}";39.492564044240524, -0.3817478433711826
311849;1;"{""coordinates"": [-0.3758901071455945, 39.4931397744515], ""type"": ""Point""}";39.4931397744515, -0.3758901071455945
311856;1;"{""coordinates"": [-0.3794205309935151, 39.49067077944577], ""type"": ""Point""}";39.49067077944577, -0.3794205309935151
311857;1;"{""coordinates"": [-0.37840871091896416, 39.49084480597229], ""type"": ""Point""}";39.49084480597229, -0.37840871091896416
311858;1;"{""coordinates"": [-0.37732765694116194, 39.49112682563153], ""type"": ""Point""}";39.49112682563153, -0.37732765694116194
311859;2;"{""coordinates"": [-0.37622776320144397, 39.49029928575139], ""type"": ""Point""}";39.49029928575139, -0.37622776320144397
311862;1;"{""coordinates"": [-0.37906082496524107, 39.48969026803087], ""type"": ""Point""}";39.48969026803087, -0.37906082496524107
311863;1;"{""coordinates"": [-0.3793156342573427, 39.48929878223066], ""type"": ""Point""}";39.48929878223066, -0.3793156342573427
311864;1;"{""coordinates"": [-0.38163432848510426, 39.48988614926828], ""type"": ""Point""}";39.48988614926828, -0.38163432848510426
311867;1;"{""coordinates"": [-0.3791457436408036, 39.48831841685592], ""type"": ""Point""}";39.48831841685592, -0.3791457436408036
311868;1;"{""coordinates"": [-0.37981950443318807, 39.48801111542759], ""type"": ""Point""}";39.48801111542759, -0.37981950443318807
311880;1;"{""coordinates"": [-0.3833785081131414, 39.485996798411335], ""type"": ""Point""}";39.485996798411335, -0.3833785081131414
311882;1;"{""coordinates"": [-0.38416108666107496, 39.4871170307879], ""type"": ""Point""}";39.4871170307879, -0.38416108666107496
311885;1;"{""coordinates"": [-0.3861817079525112, 39.48858793477835], ""type"": ""Point""}";39.48858793477835, -0.3861817079525112
311891;1;"{""coordinates"": [-0.38232661406201035, 39.48458163644304], ""type"": ""Point""}";39.48458163644304, -0.38232661406201035
311892;1;"{""coordinates"": [-0.38071248199917596, 39.48394835909853], ""type"": ""Point""}";39.48394835909853, -0.38071248199917596
311894;1;"{""coordinates"": [-0.39567590996434693, 39.493890338324285], ""type"": ""Point""}";39.493890338324285, -0.39567590996434693
311896;1;"{""coordinates"": [-0.39482760794349026, 39.49453198156938], ""type"": ""Point""}";39.49453198156938, -0.39482760794349026
311897;1;"{""coordinates"": [-0.3941214086683404, 39.49637911860913], ""type"": ""Point""}";39.49637911860913, -0.3941214086683404
312214;1;"{""coordinates"": [-0.36618433415325174, 39.48701268865456], ""type"": ""Point""}";39.48701268865456, -0.36618433415325174
311898;1;"{""coordinates"": [-0.3894660522316085, 39.49020683030741], ""type"": ""Point""}";39.49020683030741, -0.3894660522316085
311899;1;"{""coordinates"": [-0.39181966800773976, 39.49242980320639], ""type"": ""Point""}";39.49242980320639, -0.39181966800773976
311900;1;"{""coordinates"": [-0.3897027859859338, 39.49153172024103], ""type"": ""Point""}";39.49153172024103, -0.3897027859859338
311906;1;"{""coordinates"": [-0.3883803400560651, 39.492206617599294], ""type"": ""Point""}";39.492206617599294, -0.3883803400560651
311909;2;"{""coordinates"": [-0.3903246152818329, 39.49357466531557], ""type"": ""Point""}";39.49357466531557, -0.3903246152818329
