Id. Falla;OBJECTID;geo_shape;geo_point_2d
82;2896;"{""coordinates"": [[[-0.3961742203429992, 39.474010493659364], [-0.3961860248550081, 39.47337636152001], [-0.39628135810747456, 39.473381246122486], [-0.39626807086867294, 39.47399899675308], [-0.39652659996334866, 39.4739673636027], [-0.396788715557833, 39.47393499491653], [-0.3969590272135567, 39.47391419694788], [-0.39696996814655827, 39.4739737849269], [-0.3959763580663857, 39.47410846788017], [-0.39568332933236966, 39.474164642326244], [-0.3955390184558884, 39.474205322533486], [-0.39545237942227746, 39.474236437720705], [-0.39544259391851416, 39.47424382905189], [-0.39541288900726346, 39.47420023355738], [-0.3953981874676419, 39.47416336428283], [-0.39568697923782914, 39.474099748914675], [-0.39577270997679426, 39.47407941837209], [-0.3958808221187389, 39.47405427861057], [-0.3959426095136375, 39.47404323100884], [-0.3959819260081256, 39.474036274346304], [-0.3961742203429992, 39.474010493659364]]], ""type"": ""Polygon""}";39.47392602238014, -0.3961885014581715
174;2903;"{""coordinates"": [[[-0.3688768283076964, 39.46077978161632], [-0.3687134691271585, 39.46085002103092], [-0.3683510366838041, 39.46033362834944], [-0.36851469922474905, 39.46026456744379], [-0.3688768283076964, 39.46077978161632]]], ""type"": ""Polygon""}";39.46055711704088, -0.3686140562686429
228;2905;"{""coordinates"": [[[-0.33482145998819796, 39.46363661154443], [-0.33480533618410824, 39.46377281437222], [-0.3348353352713688, 39.463778547254016], [-0.33482229391729496, 39.46383094934023], [-0.33480992247520924, 39.46388102451374], [-0.3344235771422038, 39.46383924112293], [-0.33447253910281166, 39.463433484111455], [-0.334908632362749, 39.46348726372146], [-0.33486756546461355, 39.46364361466608], [-0.33482145998819796, 39.46363661154443]]], ""type"": ""Polygon""}";39.46365453684615, -0.3346476314316072
356;2908;"{""coordinates"": [[[-0.41921724278545297, 39.50457908266875], [-0.41922500455791284, 39.504718885383106], [-0.4190992419320472, 39.504721816041766], [-0.41909074961666665, 39.504582874552305], [-0.41921724278545297, 39.50457908266875]]], ""type"": ""Polygon""}";39.504650591188316, -0.41915811891916616
235;2909;"{""coordinates"": [[[-0.415693150249061, 39.467295635121054], [-0.41537013083036317, 39.46738404369965], [-0.4153240551474573, 39.467282908072285], [-0.4156470753036835, 39.46719449963282], [-0.415693150249061, 39.467295635121054]]], ""type"": ""Polygon""}";39.4672892716379, -0.41550860279482055
95;2910;"{""coordinates"": [[[-0.37770936264655164, 39.488159512411926], [-0.37725114058965686, 39.488260188393625], [-0.3772010130833859, 39.488114130939714], [-0.3775627171098132, 39.488034596104775], [-0.3776448647968727, 39.48801652714269], [-0.3777695388521071, 39.48798789559807], [-0.37782834250223796, 39.48813168020668], [-0.37770936264655164, 39.488159512411926]]], ""type"": ""Polygon""}";39.48812419383015, -0.37751275705872034
311;2911;"{""coordinates"": [[[-0.39538707691373454, 39.47874126401662], [-0.39512224517716504, 39.47885303066154], [-0.3950670378973087, 39.47877546775151], [-0.39534838505685144, 39.478660861569544], [-0.39538707691373454, 39.47874126401662]]], ""type"": ""Polygon""}";39.47875768778685, -0.39523005102793474
385;2912;"{""coordinates"": [[[-0.41134455865502983, 39.46695506405119], [-0.41111323465885247, 39.46697053694078], [-0.41110108071384643, 39.46686261044161], [-0.41109609834621447, 39.466816177748704], [-0.4113258490046517, 39.466796887025865], [-0.4113308653197075, 39.466846796981955], [-0.41134455865502983, 39.46695506405119]]], ""type"": ""Polygon""}";39.46688472894524, -0.41122016017349844
116;2913;"{""coordinates"": [[[-0.40336572925532593, 39.467683779316914], [-0.40314935547058295, 39.46840412533933], [-0.40292404465285714, 39.46837060812491], [-0.4029314980603274, 39.46833144030697], [-0.40297466966975476, 39.46818637182535], [-0.4030342565387984, 39.46798761712318], [-0.40307741412447595, 39.46784291313646], [-0.4031372536025561, 39.4676434433035], [-0.40336572925532593, 39.467683779316914]]], ""type"": ""Polygon""}";39.468024908398135, -0.40314303752951736
19;2915;"{""coordinates"": [[[-0.37075913778958597, 39.47624300878051], [-0.3705245477047999, 39.47618802635909], [-0.37055166524815436, 39.47609453242582], [-0.37087012633017197, 39.47616966417073], [-0.37075913778958597, 39.47624300878051]]], ""type"": ""Polygon""}";39.476171669522365, -0.37067802412657613
271;2925;"{""coordinates"": [[[-0.37382543722498013, 39.4754533269614], [-0.3739048586690801, 39.47539457463104], [-0.37378573380202024, 39.47535315645841], [-0.37385980039542815, 39.475247430237815], [-0.3739677022397764, 39.475093917514656], [-0.3740378110587697, 39.47498112442701], [-0.37410289771905114, 39.47500567840589], [-0.3741535253477774, 39.47502565167983], [-0.3741201053908056, 39.47507661055727], [-0.37410727695968654, 39.47507154151619], [-0.3740734700024136, 39.4751268221588], [-0.3740347797712571, 39.47519016341253], [-0.37399738264297777, 39.47525138888074], [-0.373963457670303, 39.47530692807602], [-0.373962432694541, 39.47530636438642], [-0.3739500393782474, 39.47532680453398], [-0.37395358565525233, 39.4753283260789], [-0.3739496250485543, 39.47533778589187], [-0.37394851501605697, 39.475348751528195], [-0.3739508825304639, 39.4753599759261], [-0.3739566487022666, 39.47537046633592], [-0.37396457997420335, 39.475379023739016], [-0.3739736531111479, 39.4753855015916], [-0.3739856421397499, 39.47539076068302], [-0.37399509818857857, 39.475392777026485], [-0.3739939242019969, 39.475396173836415], [-0.37401857756808154, 39.475400514633556], [-0.37402248648938685, 39.47540015252582], [-0.37416912929964313, 39.47542635030767], [-0.37417229667713664, 39.475428674075204], [-0.37418593392703725, 39.47543078488218], [-0.3741848151390497, 39.4754358045232], [-0.37423400796369904, 39.47544445643141], [-0.3741837304332218, 39.475596726510645], [-0.3741790995469255, 39.47560917201277], [-0.37416760620008915, 39.47565512738747], [-0.37409144900913144, 39.47595622877357], [-0.3740469714250043, 39.47594879323617], [-0.3738037089917465, 39.47590224466577], [-0.37381700500167586, 39.475866499189145], [-0.37399554255988243, 39.47554261401569], [-0.3738220039138063, 39.475458874458276], [-0.37382543722498013, 39.4754533269614]]], ""type"": ""Polygon""}";39.47553803461339, -0.37400867023494044
85;2926;"{""coordinates"": [[[-0.3765432632542562, 39.46337778128496], [-0.37650009697001163, 39.46339856761644], [-0.37605752328985165, 39.46277701142406], [-0.37565084627906553, 39.46216182351245], [-0.3756988564025899, 39.462169418302494], [-0.37591058409203676, 39.462472409538336], [-0.37593688045924717, 39.46248561201164], [-0.37610727990179577, 39.46252407837389], [-0.37618366452203444, 39.462633714911824], [-0.37613271248423125, 39.46276737504138], [-0.37613704236740775, 39.462789473203976], [-0.3765432632542562, 39.46337778128496]]], ""type"": ""Polygon""}";39.46274494427668, -0.3761023620174235
369;2929;"{""coordinates"": [[[-0.35442131310024705, 39.48620044308841], [-0.35435271105277377, 39.48619302905483], [-0.3542512292712726, 39.48618206190876], [-0.3538444729919658, 39.48613811590153], [-0.35388456766989296, 39.48592418387758], [-0.35446071832787884, 39.48598640506346], [-0.35442131310024705, 39.48620044308841]]], ""type"": ""Polygon""}";39.486062308272714, -0.3541527707833337
284;2930;"{""coordinates"": [[[-0.40362006912205417, 39.4634646371557], [-0.403389271282533, 39.46348161188876], [-0.403350668211167, 39.462925899233525], [-0.40358325357063596, 39.46291650129004], [-0.40362006912205417, 39.4634646371557]]], ""type"": ""Polygon""}";39.463196926516055, -0.4034855308176186
215;2932;"{""coordinates"": [[[-0.38964075275913446, 39.46160890903059], [-0.3900772099517536, 39.461853211135534], [-0.39001380113800804, 39.4619289288241], [-0.389681473194485, 39.46174489116675], [-0.38962410597323316, 39.46171317084485], [-0.389485598876465, 39.461638071136285], [-0.38945696908772975, 39.46160770072305], [-0.38940133123619153, 39.46154999624342], [-0.3893879455798957, 39.46153847867371], [-0.38942655226053413, 39.46147202382969], [-0.3895873205695699, 39.46140225269479], [-0.3896849356359085, 39.46152457250214], [-0.38965361960351874, 39.46153829856535], [-0.3896287461379068, 39.46156323486723], [-0.38962677235659665, 39.46158805489514], [-0.38964075275913446, 39.46160890903059]]], ""type"": ""Polygon""}";39.461656129734486, -0.38968537823424787
231;2934;"{""coordinates"": [[[-0.3947982562756764, 39.46912567709255], [-0.3947544195048439, 39.46925794659461], [-0.393292127140799, 39.468799579158095], [-0.3936675411297921, 39.46870249420333], [-0.3936956942650792, 39.46877654750298], [-0.3947982562756764, 39.46912567709255]]], ""type"": ""Polygon""}";39.468973600240425, -0.39408427546926106
232;2937;"{""coordinates"": [[[-0.3942519660961908, 39.458235612870276], [-0.3933538538947387, 39.459052592225945], [-0.39310646897995455, 39.45882776308169], [-0.3932223565449213, 39.458827209346325], [-0.39401315645140567, 39.458103659006746], [-0.39407958169796437, 39.45804309464318], [-0.3942915831856877, 39.45820214049458], [-0.3942519660961908, 39.458235612870276]]], ""type"": ""Polygon""}";39.45854630526547, -0.3937181373233879
112;2943;"{""coordinates"": [[[-0.3281440383598648, 39.4800386634848], [-0.32814498413815935, 39.48073058804418], [-0.32814140615704424, 39.48084006528153], [-0.3281454799001362, 39.480876369488186], [-0.32814223219846494, 39.48133159533411], [-0.32796091480385514, 39.48132841968939], [-0.32796286149136694, 39.48106783149128], [-0.32796468266273227, 39.48089962388302], [-0.3279705760538844, 39.48003508744504], [-0.32805519149686324, 39.480034825111055], [-0.3281440383598648, 39.4800386634848]]], ""type"": ""Polygon""}";39.48068809287707, -0.32805502966807254
342;2944;"{""coordinates"": [[[-0.3569646631998618, 39.488568086218145], [-0.3570027342989122, 39.488573080902924], [-0.35706273423229895, 39.488588229036765], [-0.3571063609719128, 39.488593640135626], [-0.3571865506630627, 39.48860813394336], [-0.3572035241612682, 39.488642353250356], [-0.357279942543317, 39.488752444932366], [-0.3567105435337723, 39.488680494081244], [-0.35659330837740544, 39.48866799673619], [-0.35661600675189903, 39.488526052389304], [-0.356665115700757, 39.48853086947238], [-0.3569646631998618, 39.488568086218145]]], ""type"": ""Polygon""}";39.4886375953514, -0.35691342606462195
28;2946;"{""coordinates"": [[[-0.3757409156843187, 39.459964477696026], [-0.37635603268816803, 39.46084415540486], [-0.3762000409046088, 39.46091232045966], [-0.3755777539922932, 39.46003433224914], [-0.37537930531258923, 39.45998660848937], [-0.3752887520555372, 39.459859066246906], [-0.37571200297526913, 39.45968175271431], [-0.37579972406385476, 39.45980977301603], [-0.3757409156843187, 39.459964477696026]]], ""type"": ""Polygon""}";39.46022685634461, -0.37581989556584733
67;2948;"{""coordinates"": [[[-0.4009588094786561, 39.470892337770856], [-0.4011323360246991, 39.47089270055179], [-0.4011324006692933, 39.470909728687595], [-0.4012807219149663, 39.47091257886546], [-0.40132908145465535, 39.47091258911519], [-0.40132916419780684, 39.47089160038913], [-0.4014765728360237, 39.47089101916553], [-0.401654240055738, 39.47086792016193], [-0.40210228567329737, 39.4708107698406], [-0.4021311595803297, 39.47095357828181], [-0.4016846963731008, 39.471009911848746], [-0.40161120456693883, 39.471079530322896], [-0.40162001493600885, 39.471386478010466], [-0.401445076609296, 39.47137873046932], [-0.40143733039763047, 39.471099422241934], [-0.4013928244979708, 39.47106517456128], [-0.40135392053713365, 39.471035566455576], [-0.40095897543536724, 39.471035926023845], [-0.4009588094786561, 39.470892337770856]]], ""type"": ""Polygon""}";39.47101496414736, -0.4015418479174557
197;2950;"{""coordinates"": [[[-0.3972353975280243, 39.48396957039258], [-0.3970217511149949, 39.48406062951465], [-0.39695502293690504, 39.48395716043741], [-0.3968843929169969, 39.483834569202266], [-0.3968462910878314, 39.483764289264464], [-0.39682514680583875, 39.483730681188746], [-0.3971102012018598, 39.48362188274588], [-0.39732318425935753, 39.483934208665225], [-0.3972353975280243, 39.48396957039258]]], ""type"": ""Polygon""}";39.48383944840972, -0.39706962277819513
126;2951;"{""coordinates"": [[[-0.37019907383310346, 39.46245374293128], [-0.37035642186875223, 39.46241147109972], [-0.3708288138637539, 39.46228872064493], [-0.3708685847541954, 39.46220475748317], [-0.3709849909067831, 39.46234260390842], [-0.370432011602441, 39.46248765268155], [-0.37042545682430095, 39.4625567820304], [-0.37019907383310346, 39.46245374293128]]], ""type"": ""Polygon""}";39.46239270215689, -0.37060945839787024
112;2952;"{""coordinates"": [[[-0.32815961377476577, 39.48240765543884], [-0.3281485868146146, 39.482406448765126], [-0.32813976346202023, 39.48241196641579], [-0.32813585679894497, 39.482417597120055], [-0.32804897411666184, 39.48277372183208], [-0.32787549130566446, 39.48276248950037], [-0.32794136253620276, 39.48238033394425], [-0.3279481790405778, 39.48234012534675], [-0.32795211287807136, 39.482317148993886], [-0.3279561377972314, 39.48229364592369], [-0.32796211540516973, 39.482258737679906], [-0.32796517991523555, 39.48216866244581], [-0.3279614386470022, 39.48141680633576], [-0.32814181475715093, 39.48142113237245], [-0.3281379990741732, 39.481939761975724], [-0.32813708760086463, 39.48209359996337], [-0.3281366224372634, 39.48217023361339], [-0.32813636903488197, 39.48221610737033], [-0.3282718139405419, 39.48223765353227], [-0.3282255678699411, 39.48238819696148], [-0.328280280104792, 39.482469542432355], [-0.32821909675361705, 39.48249292402391], [-0.32815961377476577, 39.48240765543884]]], ""type"": ""Polygon""}";39.482124856815275, -0.328051815489889
181;2953;"{""coordinates"": [[[-0.33447119588312324, 39.47302889299833], [-0.3345481651280607, 39.47285548362882], [-0.3349272373849247, 39.47296454420216], [-0.33495425233754095, 39.47316766572448], [-0.33447119588312324, 39.47302889299833]]], ""type"": ""Polygon""}";39.47300792085311, -0.33472467764421515
360;2954;"{""coordinates"": [[[-0.35350460747117735, 39.47667212333034], [-0.35374413053440923, 39.476183091862026], [-0.3539126155148473, 39.4762325759112], [-0.3538815063682638, 39.47627954637917], [-0.35382488794476824, 39.476474802979965], [-0.3537472893233393, 39.476742413980745], [-0.35350460747117735, 39.47667212333034]]], ""type"": ""Polygon""}";39.47647449115269, -0.3537164645639478
49;2955;"{""coordinates"": [[[-0.32874502211829876, 39.4714663012675], [-0.32863195866815204, 39.47145093414913], [-0.32868657859319145, 39.47112767369838], [-0.32875754272758, 39.47070123175413], [-0.32888818165503536, 39.47072016028401], [-0.3288644115679484, 39.47084015071614], [-0.32883098813495754, 39.4710132671421], [-0.32879568306494544, 39.471198675052435], [-0.32876690375713086, 39.47134901692931], [-0.32874502211829876, 39.4714663012675]]], ""type"": ""Polygon""}";39.47107552478258, -0.32875709803275643
113;2956;"{""coordinates"": [[[-0.3521796552181635, 39.47406886128803], [-0.35243862648828744, 39.47414955790353], [-0.35234770443776847, 39.474334615405105], [-0.3521441065974707, 39.47474909810333], [-0.3518836167580143, 39.47467216430324], [-0.35211777238024783, 39.47419510354987], [-0.3521796552181635, 39.47406886128803]]], ""type"": ""Polygon""}";39.47440983547601, -0.3521614034738204
305;2962;"{""coordinates"": [[[-0.37349705825611274, 39.47213906098039], [-0.3736870896016299, 39.47216391387411], [-0.3736546692265745, 39.47231036770328], [-0.373381515449192, 39.47227499477685], [-0.37341264583928185, 39.472128209177455], [-0.37349705825611274, 39.47213906098039]]], ""type"": ""Polygon""}";39.472219276360434, -0.3735339672300966
104;2966;"{""coordinates"": [[[-0.38518410938128145, 39.47285378458537], [-0.38517869646594705, 39.47309667893929], [-0.38495846503863296, 39.473093731376615], [-0.3849638787193822, 39.47285083705832], [-0.38518410938128145, 39.47285378458537]]], ""type"": ""Polygon""}";39.47297375806032, -0.3850712874016592
388;2969;"{""coordinates"": [[[-0.39036956818920854, 39.499833325013455], [-0.39104801591202437, 39.50048900886401], [-0.39036173543833197, 39.5009136576043], [-0.38967958576016537, 39.50024690763443], [-0.39036956818920854, 39.499833325013455]]], ""type"": ""Polygon""}";39.50037153557506, -0.3903644052640571
374;2974;"{""coordinates"": [[[-0.3821088149068122, 39.4941314401284], [-0.3818399077706126, 39.494185609352684], [-0.3817264003672951, 39.49388451073724], [-0.38171166894353836, 39.49384088530774], [-0.38163534432604246, 39.49363299144756], [-0.38190561205273993, 39.49357303275918], [-0.38198124773720793, 39.49378158208218], [-0.38199552046816126, 39.49382569172622], [-0.3821088149068122, 39.4941314401284]]], ""type"": ""Polygon""}";39.49388027881313, -0.3818717245751823
12;2979;"{""coordinates"": [[[-0.379702720190414, 39.46624242170241], [-0.37954826697219307, 39.46620505970807], [-0.3797314276971451, 39.465787491790955], [-0.3799329817324187, 39.46583645123527], [-0.37987140659688945, 39.46586055792937], [-0.379702720190414, 39.46624242170241]]], ""type"": ""Polygon""}";39.46601264262925, -0.37971968899683767
346;2985;"{""coordinates"": [[[-0.327986940372928, 39.47782124319383], [-0.32802841469779653, 39.477820998709454], [-0.3280318620679992, 39.47800209019064], [-0.32798469643541744, 39.47800160022173], [-0.327986940372928, 39.47782124319383]]], ""type"": ""Polygon""}";39.477913416267505, -0.3280079995174127
324;2989;"{""coordinates"": [[[-0.3808640994756955, 39.45255976883705], [-0.38091346975428697, 39.4521208903444], [-0.38123482127489366, 39.45218705363354], [-0.38112419838133, 39.45250311313467], [-0.3810884907513231, 39.45260627038453], [-0.3809928996273101, 39.45258645908343], [-0.3808640994756955, 39.45255976883705]]], ""type"": ""Polygon""}";39.45235576555225, -0.38102807135145045
182;2990;"{""coordinates"": [[[-0.38964660719333405, 39.47009677971289], [-0.3891813376394218, 39.47019185355411], [-0.38915456978991, 39.47011344665117], [-0.3896229389121881, 39.47001728219868], [-0.38964660719333405, 39.47009677971289]]], ""type"": ""Polygon""}";39.47010475174879, -0.38940155957191075
